backgroundPosition,0,0
backgroundSize,1280,720
panelPosition,80,40
panelSize,1120,620
titleBannerPosition,492,32
titleBannerSize,296,88
titlePosition,500,42
titleSize,280,72
expLabelPosition,128,186
expLabelSize,380,70
levelLabelPosition,128,282
levelLabelSize,220,70
killLabelPosition,128,378
killLabelSize,320,70
timeLabelPosition,128,474
timeLabelSize,240,70
totalScoreLabelPosition,440,548
totalScoreLabelSize,360,80
expPosition,720,200
levelPosition,720,296
killPosition,720,392
timePosition,720,488
totalScorePosition,820,558
retryLabelPosition,470,618
retryLabelSize,220,70
titleMenuLabelPosition,700,618
titleMenuLabelSize,220,70
cursorBasePosition,400,618
cursorSize,96,54
cursorStepX,230
menuHitbox0,470,618
menuHitbox1,700,618
menuHitboxSize,220,70
scoreScale,2
